Apps,Platform,Category,# Actions,# Activities,# Screens,Content labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language,Considered
Dockyard,Ionic,FOOD_AND_DRINK,8,1,1,0,0,0,0,null,null,null,null,null,0FEF49DE431D311A424F2B1C03B2ADB29B380F040DF57880899780C20126F686,ing,no
joele,Ionic,SHOPPING,3,1,1,0,0,0,0,null,null,null,null,null,2B5A8572DADA89A5C50ADA3EC943CC91B81604ED884DCC6464FCA91097D726C5,ing,no
Team Manager,Ionic,SPORTS,3,1,1,0,0,0,0,null,null,null,null,null,2B61A719D52934122B0A5637191E110BD3387E0E6F478344C1ECF1808A5D7BE7,ing,no
DSPC,React Native,EDUCATION,10,1,2,0,0,0,0,null,null,null,null,true,2DA5DB215BF78F02B38906456EF0D4C549FE3C71670F3778D9566610E4667C95,ing,no
Club Epicure,Ionic,LIFESTYLE,10,1,2,0,0,0,0,null,null,null,null,null,0A48DDD78BB8081FE3089DDA45422242F6150CAE13491F0577EB5B87FCE25532,ing,no
Corbino 4.0,Ionic,EDUCATION,5,1,2,0,0,0,0,null,null,null,null,null,8A4820C8C39DF1C302BDA4B7745DFB2B261E03660ACFC2B6B5744FD2DD8FB52D,ing,no
EK Platinum,Ionic,LIFESTYLE,29,1,2,0,0,0,0,null,null,null,null,null,7CACAD1EE2B6F62BB5D5770777665BC8E1EC000BB1F428BACACC1B292557A029,ing,no
Elemech Facilities Maintenance Technician,Ionic,LIFESTYLE,12,1,2,0,0,0,0,null,null,null,null,null,01269915FC4639F3B097777DFFE30C99D281725342867313575D97B83FED0917,ing,no
Oryal,Ionic,LIFESTYLE,5,1,2,0,0,0,0,null,null,null,null,null,AF990B5D6720879F2B3C7C1C7419774724EB0FAE71C5E418AE8ACD9EE533C4F1,ing,no
Scholars Rajpura,Ionic,EDUCATION,9,1,2,0,0,0,0,null,null,null,null,null,72C0F1A38537143D267ED7ABB8781D2ABAF15EE72C186474D0AFAA4826DC62E7,ing,no
Duy Tan,React Native,BUSINESS,4,1,3,0,0,0,0,null,null,null,null,null,2D158DBAA43E73C2C9D1E4148A6954096907327B29E8578A8ACEDA14CB441BB8,ing,no
ECOink,React Native,BUSINESS,4,1,3,0,0,0,0,null,null,null,null,null,2D8D3BEF99C5AC0CBFE7EBF0440200CC5735C5B112F77763501B4D394401E706,ing,no
